key_regions	globalkey	localkey	length	length_norepeat	n_stepwise	%_stepwise	n_ascending	n_descending	bd	stepwise_bd	stepwise_chords	ascending_bd	ascending_chords	descending_bd	descending_chords	ixa	ixb
1	G	I	14	12	3	25.0	0	3	1 5 3 1 5 1 6 3 7 b7 6 5	['7 b7 6 6 5']	['V6 iii%43 ii7/V V43/V V']	[]	[]	['7 b7 6 6 5']	['V6 iii%43 ii7/V V43/V V']	('c01n01_prelude', 0)	('c01n01_prelude', 13)
2	G	ii	8	7	1	14.3	1	0	2 7 3 4 2 5 1	['3 3 4']	['i6(#7) i6 ii65']	['3 3 4']	['i6(#7) i6 ii65']	[]	[]	('c01n01_prelude', 14)	('c01n01_prelude', 21)
3	G	V	13	10	7	70.0	2	5	5 4 3 2 1 4 3 4 5 1	['5 5 4 3 2 1', '4 3 4 5 5 5']	['V I64 V2 I6 V43 vi6', 'V2 I6 ii65 V(64) V V7']	['3 4 5 5 5']	['I6 ii65 V(64) V V7']	['5 5 4 3 2 1', '4 3']	['V I64 V2 I6 V43 vi6', 'V2 I6']	('c01n01_prelude', 22)	('c01n01_prelude', 34)
4	G	IV	6	4	1	25.0	0	1	4 3 5 1	['4 4 3']	['ii6 V2 I6']	[]	[]	['4 4 3']	['ii6 V2 I6']	('c01n01_prelude', 35)	('c01n01_prelude', 40)
5	G	V	7	7	3	42.9	1	2	5 3 2 1 5 7 1	['3 2 1', '7 1']	['I6 V43 I', 'V65 I']	['7 1']	['V65 I']	['3 2 1']	['I6 V43 I']	('c01n01_prelude', 41)	('c01n01_prelude', 47)
6	G	I	45	36	19	52.8	9	10	7 1 2 7 1 6 5 4 3 4 2 1 5 3 2 1 4 3 5 1 6 5 4 #4 5 6 7 1 6 2 5 1 4 3 5 1	['7 1 2', '7 1', '6 5 4 3 4', '2 1', '3 2 1', '4 4 4 3', '6 6 5 5 4 #4 5 6 7 1', '4 4 4 3']	['V65 I V43', 'V6 I', 'vi I64 viio64 I6 IV', 'V43 I', 'I6 V43 I', 'IVM7 ii65 V2 I6', 'vi7 ii43 V7 I64 IVM7 V65/V V vi7 V65 I', 'IV7 ii65 V2 I6']	['7 1 2', '7 1', '3 4', '4 #4 5 6 7 1']	['V65 I V43', 'V6 I', 'I6 IV', 'IVM7 V65/V V vi7 V65 I']	['6 5 4 3', '2 1', '3 2 1', '4 4 4 3', '6 6 5 5 4', '4 4 4 3']	['vi I64 viio64 I6', 'V43 I', 'I6 V43 I', 'IVM7 ii65 V2 I6', 'vi7 ii43 V7 I64 IVM7', 'IV7 ii65 V2 I6']	('c01n01_prelude', 48)	('c01n01_prelude', 92)
7	G	I	15	11	4	36.4	2	2	1 7 5 6 5 1 5 1 2 5 1	['1 7', '5 6 6 5', '1 1 2']	['I V6', 'V IV6(2) IV6 V7', 'I I ii7']	['5 6 6', '1 1 2']	['V IV6(2) IV6', 'I I ii7']	['1 7', '6 6 5']	['I V6', 'IV6(2) IV6 V7']	('c01n02_allemande', 0)	('c01n02_allemande', 14)
8	G	V	22	22	13	59.1	9	4	3 1 5 7 1 7 1 5 6 4 5 1 7 1 7 1 7 1 3 4 5 1	['7 1 7 1', '5 6', '4 5', '1 7 1 7 1 7 1', '3 4 5']	['V6 I V6 I', 'V7 vi', 'IVM7 V', 'I V65 I V65 I V65 I', 'I6 ii65 V7']	['7 1', '7 1', '5 6', '4 5', '7 1', '7 1', '7 1', '3 4 5']	['V6 I', 'V6 I', 'V7 vi', 'IVM7 V', 'V65 I', 'V65 I', 'V65 I', 'I6 ii65 V7']	['1 7', '1 7', '1 7', '1 7']	['I V6', 'I V65', 'I V65', 'I V65']	('c01n02_allemande', 15)	('c01n02_allemande', 36)
9	G	I	3	3	1	33.3	1	0	5 3 4	['3 4']	['I6 IV']	['3 4']	['I6 IV']	[]	[]	('c01n02_allemande', 37)	('c01n02_allemande', 39)
10	G	ii	2	2	1	50.0	1	0	4 5	['4 5']	['ii%65 V']	['4 5']	['ii%65 V']	[]	[]	('c01n02_allemande', 40)	('c01n02_allemande', 41)
