piece	i	mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	volta	bass_name
c03n01_prelude	29	8	7	97/4	1.0	0	0	4/4	1	1	I6		A	V		I6	I		6					M	False	False	(4, 1, 0)	()	0	4		G#
c03n01_prelude	30	8	7	101/4	0.5	1/4	1/4	4/4	1	1	ii65		A	V		ii65	ii		65					mm7	False	False	(-1, 3, 0, 2)	()	2	-1		A
c03n01_prelude	31	8	7	103/4	0.5	3/8	3/8	4/4	1	1	V65/V		A	V		V65/V	V		65		V			Mm7	False	False	(6, 3, 0, 2)	()	2	6		A#
c03n01_prelude	32	8	7	105/4	1.0	1/2	1/2	4/4	1	1	V(64)		A	V		V(64)	V			64				M	False	False	(1, 0, 4)	()	1	1		B
c03n01_prelude	33	8	7	109/4	1.0	3/4	3/4	4/4	1	1	V		A	V		V	V							M	False	False	(1, 5, 2)	()	1	1		B
c03n02_allemande	54	11	8	35	1.0	0	0	4/4	1	1	V|HC.CON}		A	vi		V	V					HC.CON	}	M	False	True	(1, 5, 2)	()	1	1		C#
c03n02_allemande	55	11	8	36	1.0	1/4	1/4	4/4	1	1	III+6{		A	vi		III+6	III	+	6				{	+	False	True	(1, 5, -3)	()	-3	1		C#
c03n02_allemande	56	11	8	37	1.0	1/2	1/2	4/4	1	1	VI		A	vi		VI	VI							M	False	True	(-4, 0, -3)	()	-4	-4		D
c03n02_allemande	57	11	8	38	0.5	3/4	3/4	4/4	1	1	iv6		A	vi		iv6	iv		6					m	False	True	(-4, 0, -1)	()	-1	-4		D
c03n02_allemande	58	11	8	77/2	0.5	7/8	7/8	4/4	1	1	V65/VII		A	vi		V65/VII	V		65		VII			Mm7	False	True	(3, 0, -3, -1)	()	-1	3		D#
c03n02_allemande	59	12	9	39	1.0	0	0	4/4	1	1	VII		A	vi		VII	VII							M	False	True	(-2, 2, -1)	()	-2	-2		E
c03n02_allemande	60	12	9	40	0.5	1/4	1/4	4/4	1	1	v6		A	vi		v6	v		6					m	False	True	(-2, 2, 1)	()	1	-2		E
c03n02_allemande	61	12	9	81/2	0.5	3/8	3/8	4/4	1	1	V6		A	vi		V6	V		6					M	False	True	(5, 2, 1)	()	1	5		E#
c03n02_allemande	62	12	9	41	0.5	1/2	1/2	4/4	1	1	i		A	vi		i	i							m	False	True	(0, -3, 1)	()	0	0		F#
c03n03_courante	89	23	21	249/2	2.0	1	1	3/2	1	1	ii%65		a	i		ii%65	ii	%	65					%7	True	True	(-1, -4, 0, 2)	()	2	-1		D
c03n03_courante	90	24	22	253/2	1.0	0	0	3/2	1	1	V65/V		a	i		V65/V	V		65		V			Mm7	True	True	(6, 3, 0, 2)	()	2	6		D#
c03n03_courante	91	24	22	255/2	1.0	1/4	1/4	3/2	1	1	V		a	i		V	V							M	True	True	(1, 5, 2)	()	1	1		E
c03n03_courante	92	24	22	257/2	1.0	1/2	1/2	3/2	1	1	ii%43		a	i		ii%43	ii	%	43					%7	True	True	(-4, 0, 2, -1)	()	2	-4		F
c03n03_courante	98	26	23	273/2	2.0	1	1	3/2	1	1	ii%65{		a	i		ii%65	ii	%	65				{	%7	True	True	(-1, -4, 0, 2)	()	2	-1	2	D
c03n03_courante	99	27	24	277/2	1.0	0	0	3/2	1	1	V65/V		a	i		V65/V	V		65		V			Mm7	True	True	(6, 3, 0, 2)	()	2	6		D#
