piece	i	mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	volta	bass_name
c09n07_douceur	90	39	37	56	0.25	5/16	5/16	3/8	1	1	I		e	i		I	I							M	True	True	(0, 4, 1)	()	0	0		E
c09n07_douceur	91	40	38	225/4	1.0	0	0	3/8	1	1	V6		e	i		V6	V		6					M	True	True	(5, 2, 1)	()	1	5		D#
c09n07_douceur	92	40	38	229/4	0.5	1/4	1/4	3/8	1	1	v6		e	i		v6	v		6					m	True	True	(-2, 2, 1)	()	1	-2		D
c09n07_douceur	93	41	39	231/4	1.5	0	0	3/8	1	1	#vi%7		e	i		#vi%7	#vi	%	7					%7	True	True	(3, 0, -3, 1)	()	3	3		C#
c09n07_douceur	94	42	40	237/4	0.5	0	0	3/8	1	1	ii%43		e	i		ii%43	ii	%	43					%7	True	True	(-4, 0, 2, -1)	()	2	-4		C
