fname		mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	bass_name
n02op18-2_02	160	84	83	0	0	3/4	1	1	V2/IV	C	I		V2/IV		V		2		IV		Mm7	False	False	(-2, 0, 4, 1)	()	0	-2	Bb
n02op18-2_02	161	85	84	0	0	3/4	1	1	IV6	C	I		IV6		IV		6				M	False	False	(3, 0, -1)	()	-1	3	A
n02op18-2_02	162	85	84	1/4	1/4	3/4	1	1	ii43	C	I		ii43		ii		43				mm7	False	False	(3, 0, 2, -1)	()	2	3	A
n02op18-2_02	163	85	84	1/2	1/2	3/4	1	1	.Ger6	C	I		Ger6	Ger	vii	o	65	b3	V		Ger	False	False	(-4, 0, -3, 6)	()	6	-4	Ab
n02op18-2_02	164	86	85	0	0	3/4	1	1	V(64)	C	I		V(64)		V			64			M	False	False	(1, 0, 4)	()	1	1	G
n02op18-2_02	165	86	85	1/2	1/2	3/4	1	1	V7	C	I		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	G
n02op18-2_03	81	47	46	0	0	3/4	1	1	I	G	IV		I		I						M	False	False	(0, 4, 1)	()	0	0	C
n02op18-2_03	82	48	47	0	0	3/4	1	1	V65	G	IV		V65		V		65				Mm7	False	False	(5, 2, -1, 1)	()	1	5	B
n02op18-2_03	83	49	48	0	0	3/4	1	1	V2/IV	G	IV		V2/IV		V		2		IV		Mm7	False	False	(-2, 0, 4, 1)	()	0	-2	Bb
n02op18-2_03	84	50	49	0	0	3/4	1	1	IV6	G	IV		IV6		IV		6				M	False	False	(3, 0, -1)	()	-1	3	A
n02op18-2_03	85	51	50	0	0	3/4	1	1	It6	G	IV		It6	It	vii	o	6	b3	V		It	False	False	(-4, 0, 6)	()	6	-4	Ab
n02op18-2_03	86	52	51	0	0	3/4	1	1	V	G	IV		V		V						M	False	False	(1, 5, 2)	()	1	1	G
n02op18-2_04	192	160	160	3/8	3/8	2/4	1	1	V65	G	iv		V65		V		65				Mm7	False	True	(5, 2, -1, 1)	()	1	5	B
n02op18-2_04	193	161	161	3/8	3/8	2/4	1	1	V2/IV	G	iv		V2/IV		V		2		IV		Mm7	False	True	(-2, 0, 4, 1)	()	0	-2	Bb
n02op18-2_04	194	162	162	0	0	2/4	1	1	IV6	G	iv		IV6		IV		6				M	False	True	(3, 0, -1)	()	-1	3	A
n02op18-2_04	195	162	162	3/8	3/8	2/4	1	1	.Ger6	G	iv		Ger6	Ger	vii	o	65	b3	V		Ger	False	True	(-4, 0, -3, 6)	()	6	-4	Ab
n02op18-2_04	196	163	163	0	0	2/4	1	1	V\\	G	iv		V		V					\\	M	False	True	(1, 5, 2)	()	1	1	G
n02op18-2_04	197	163	163	1/8	1/8	2/4	1	1	V7	G	iv		V7		V		7				Mm7	False	True	(1, 5, 2, -1)	()	1	1	G
n02op18-2_04	198	164	164	0	0	2/4	1	1	V(64)	G	iv		V(64)		V			64			M	False	True	(1, 0, -3)	()	1	1	G
n02op18-2_04	199	165	165	0	0	2/4	1	1	V7	G	iv		V7		V		7				Mm7	False	True	(1, 5, 2, -1)	()	1	1	G
n02op18-2_04	200	166	166	0	0	2/4	1	1	V(64)	G	iv		V(64)		V			64			M	False	True	(1, 0, -3)	()	1	1	G
n02op18-2_04	201	167	167	0	0	2/4	1	1	V	G	iv		V		V						M	False	True	(1, 5, 2)	()	1	1	G
n02op18-2_04	202	168	168	0	0	2/4	1	1	V(64)	G	iv		V(64)		V			64			M	False	True	(1, 0, -3)	()	1	1	G
n02op18-2_04	203	169	169	0	0	2/4	1	1	V	G	iv		V		V						M	False	True	(1, 5, 2)	()	1	1	G
n02op18-2_04	204	170	170	0	0	2/4	1	1	V(64)	G	iv		V(64)		V			64			M	False	True	(1, 0, -3)	()	1	1	G
n02op18-2_04	205	171	171	0	0	2/4	1	1	V\\	G	iv		V		V					\\	M	False	True	(1, 5, 2)	()	1	1	G
n02op18-2_04	206	172	172	0	0	2/4	1	1	V	G	iv		V		V						M	False	True	(1, 5, 2)	()	1	1	G
n02op18-2_04	207	175	175	0	0	2/4	1	1	IV.V7	G	IV		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	G
n02op18-2_04	208	177	177	0	0	2/4	1	1	V7(+9)	G	IV		V7(+9)		V		7	+9			Mm7	False	False	(1, 5, 2, -1)	(3,)	1	1	G
n02op18-2_04	209	178	178	0	0	2/4	1	1	V	G	IV		V		V						M	False	False	(1, 5, 2)	()	1	1	G
n03op18-3_04	113	69	69	0	0	6/8	1	1	I	D	V		I		I						M	False	False	(0, 4, 1)	()	0	0	A
n03op18-3_04	114	70	70	0	0	6/8	1	1	V65	D	V		V65		V		65				Mm7	False	False	(5, 2, -1, 1)	()	1	5	G#
n03op18-3_04	115	70	70	3/8	3/8	6/8	1	1	V2/IV	D	V		V2/IV		V		2		IV		Mm7	False	False	(-2, 0, 4, 1)	()	0	-2	G
n03op18-3_04	116	71	71	0	0	6/8	1	1	IV6	D	V		IV6		IV		6				M	False	False	(3, 0, -1)	()	-1	3	F#
n03op18-3_04	183	107	107	0	0	6/8	1	1	ii6(2)	D	I	V	ii6(2)		ii		6	2			m	False	False	(-1, 3, 4)	()	2	-1	G
n03op18-3_04	184	107	107	1/4	1/4	6/8	1	1	ii6	D	I	V	ii6		ii		6				m	False	False	(-1, 3, 2)	()	2	-1	G
n03op18-3_04	185	107	107	3/8	3/8	6/8	1	1	#viio6(2)/ii	D	I	V	#viio6(2)/ii		#vii	o	6	2	ii		o	False	False	(4, 1, 2)	()	7	4	F#
n03op18-3_04	186	107	107	5/8	5/8	6/8	1	1	#viio6/ii	D	I	V	#viio6/ii		#vii	o	6		ii		o	False	False	(4, 1, 7)	()	7	4	F#
n03op18-3_04	187	108	108	0	0	6/8	1	1	#viio2/V	D	I	V	#viio2/V		#vii	o	2		V		o7	False	False	(-3, 6, 3, 0)	()	6	-3	F
n03op18-3_04	188	108	108	3/8	3/8	6/8	1	1	viio6(2)	D	I	V	viio6(2)		vii	o	6	2			o	False	False	(2, -1, 0)	()	5	2	E
n03op18-3_04	189	108	108	5/8	5/8	6/8	1	1	viio6	D	I	V	viio6		vii	o	6				o	False	False	(2, -1, 5)	()	5	2	E
n03op18-3_04	190	109	109	0	0	6/8	1	1	viio6	D	I	V	viio6		vii	o	6				o	False	False	(2, -1, 5)	()	5	2	E
n03op18-3_04	191	110	110	0	0	6/8	1	1	viio6]	D	I	V	viio6		vii	o	6				o	False	False	(2, -1, 5)	()	5	2	E
n03op18-3_04	224	145	145	0	0	6/8	1	1	I	D	I		I		I						M	False	False	(0, 4, 1)	()	0	0	D
n03op18-3_04	225	145	145	3/8	3/8	6/8	1	1	vi6	D	I		vi6		vi		6				m	False	False	(0, 4, 3)	()	3	0	D
n03op18-3_04	226	147	147	0	0	6/8	1	1	V6(2)	D	I		V6(2)		V		6	2			M	False	False	(5, 2, 3)	()	1	5	C#
n03op18-3_04	227	147	147	3/8	3/8	6/8	1	1	V6	D	I		V6		V		6				M	False	False	(5, 2, 1)	()	1	5	C#
n03op18-3_04	228	149	149	0	0	6/8	1	1	v6	D	I		v6		v		6				m	False	False	(-2, 2, 1)	()	1	-2	C
n03op18-3_04	229	151	151	0	0	6/8	1	1	IV6(2)	D	I		IV6(2)		IV		6	2			M	False	False	(3, 0, 1)	()	-1	3	B
n03op18-3_04	230	151	151	3/8	3/8	6/8	1	1	IV6	D	I		IV6		IV		6				M	False	False	(3, 0, -1)	()	-1	3	B
n03op18-3_04	288	200	200	0	0	6/8	1	1	I64	D	IV		I64		I		64				M	False	False	(1, 0, 4)	()	0	1	D
n03op18-3_04	289	201	201	0	0	6/8	1	1	I.viio7	D	I		viio7		vii	o	7				o7	False	False	(5, 2, -1, -4)	()	5	5	C#
n03op18-3_04	290	203	203	0	0	6/8	1	1	.bVII7	D	I		bVII7		bVII		7				Mm7	False	False	(-2, 2, -1, -4)	()	-2	-2	C
n03op18-3_04	291	205	205	0	0	6/8	1	1	ii64	D	I		ii64		ii		64				m	False	False	(3, 2, -1)	()	2	3	B
n03op18-3_04	292	207	207	0	0	6/8	1	1	V2/bIII	D	I		V2/bIII		V		2		bIII		Mm7	False	False	(-4, -2, 2, -1)	()	-2	-4	Bb
n03op18-3_04	293	209	209	0	0	6/8	1	1	V7	D	I		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	A
n03op18-3_04	294	211	211	0	0	6/8	1	1	i64	D	I		i64		i		64				m	False	False	(1, 0, -3)	()	0	1	A
n03op18-3_04	295	213	213	0	0	6/8	1	1	V(4)	D	I		V(4)		V			4			M	False	False	(1, 0, 2)	()	1	1	A
n03op18-3_04	296	215	215	0	0	6/8	1	1	V7	D	I		V7		V		7				Mm7	False	False	(1, 5, 2, -1)	()	1	1	A
n03op18-3_04	400	270	270	1/4	1/4	6/8	1	1	V2/IV	D	I		V2/IV		V		2		IV		Mm7	False	False	(-2, 0, 4, 1)	()	0	-2	C
n03op18-3_04	401	270	270	3/8	3/8	6/8	1	1	IV6	D	I		IV6		IV		6				M	False	False	(3, 0, -1)	()	-1	3	B
n03op18-3_04	402	270	270	5/8	5/8	6/8	1	1	.Ger6	D	I		Ger6	Ger	vii	o	65	b3	V		Ger	False	False	(-4, 0, -3, 6)	()	6	-4	Bb
n03op18-3_04	403	271	271	0	0	6/8	1	1	V\\	D	I		V		V					\\	M	False	False	(1, 5, 2)	()	1	1	A
n03op18-3_04	417	279	279	0	0	6/8	1	1	I	D	I		I		I						M	False	False	(0, 4, 1)	()	0	0	D
