fname		mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	bass_name
n02op18-2_03	81	47	46	0	0	3/4	1	1	I	G	IV		I		I						M	False	False	(0, 4, 1)	()	0	0	C
n02op18-2_03	82	48	47	0	0	3/4	1	1	V65	G	IV		V65		V		65				Mm7	False	False	(5, 2, -1, 1)	()	1	5	B
n02op18-2_03	83	49	48	0	0	3/4	1	1	V2/IV	G	IV		V2/IV		V		2		IV		Mm7	False	False	(-2, 0, 4, 1)	()	0	-2	Bb
n02op18-2_03	84	50	49	0	0	3/4	1	1	IV6	G	IV		IV6		IV		6				M	False	False	(3, 0, -1)	()	-1	3	A
n02op18-2_03	85	51	50	0	0	3/4	1	1	It6	G	IV		It6	It	vii	o	6	b3	V		It	False	False	(-4, 0, 6)	()	6	-4	Ab
n02op18-2_03	86	52	51	0	0	3/4	1	1	V	G	IV		V		V						M	False	False	(1, 5, 2)	()	1	1	G
n02op18-2_04	192	160	160	3/8	3/8	2/4	1	1	V65	G	iv		V65		V		65				Mm7	False	True	(5, 2, -1, 1)	()	1	5	B
n02op18-2_04	193	161	161	3/8	3/8	2/4	1	1	V2/IV	G	iv		V2/IV		V		2		IV		Mm7	False	True	(-2, 0, 4, 1)	()	0	-2	Bb
n02op18-2_04	194	162	162	0	0	2/4	1	1	IV6	G	iv		IV6		IV		6				M	False	True	(3, 0, -1)	()	-1	3	A
n02op18-2_04	195	162	162	3/8	3/8	2/4	1	1	.Ger6	G	iv		Ger6	Ger	vii	o	65	b3	V		Ger	False	True	(-4, 0, -3, 6)	()	6	-4	Ab
n02op18-2_04	196	163	163	0	0	2/4	1	1	V\\	G	iv		V		V					\\	M	False	True	(1, 5, 2)	()	1	1	G
n02op18-2_04	197	163	163	1/8	1/8	2/4	1	1	V7	G	iv		V7		V		7				Mm7	False	True	(1, 5, 2, -1)	()	1	1	G
n02op18-2_04	198	164	164	0	0	2/4	1	1	V(64)	G	iv		V(64)		V			64			M	False	True	(1, 0, -3)	()	1	1	G
n02op18-2_04	199	165	165	0	0	2/4	1	1	V7	G	iv		V7		V		7				Mm7	False	True	(1, 5, 2, -1)	()	1	1	G
n02op18-2_04	200	166	166	0	0	2/4	1	1	V(64)	G	iv		V(64)		V			64			M	False	True	(1, 0, -3)	()	1	1	G
n02op18-2_04	201	167	167	0	0	2/4	1	1	V	G	iv		V		V						M	False	True	(1, 5, 2)	()	1	1	G
n02op18-2_04	202	168	168	0	0	2/4	1	1	V(64)	G	iv		V(64)		V			64			M	False	True	(1, 0, -3)	()	1	1	G
n02op18-2_04	203	169	169	0	0	2/4	1	1	V	G	iv		V		V						M	False	True	(1, 5, 2)	()	1	1	G
n02op18-2_04	204	170	170	0	0	2/4	1	1	V(64)	G	iv		V(64)		V			64			M	False	True	(1, 0, -3)	()	1	1	G
