key_regions	globalkey	localkey	length	length_norepeat	n_stepwise	%_stepwise	n_ascending	n_descending	bd	stepwise_bd	stepwise_chords	ascending_bd	ascending_chords	descending_bd	descending_chords	ixa	ixb
1	G	I	14	12	3	25.0	0	3	1 5 3 1 5 1 6 3 7 b7 6 5	['7 b7 6 6']	['V6 vi%43/V ii7/V V43/V']	[]	[]	['7 b7 6 6']	['V6 vi%43/V ii7/V V43/V']	('c01n01_prelude', 0)	('c01n01_prelude', 13)
2	G	ii	8	7	1	14.3	1	0	2 #7 3 4 2 5 1	['3 3 4']	['III+M7(9) i6 ii65']	['3 3 4']	['III+M7(9) i6 ii65']	[]	[]	('c01n01_prelude', 14)	('c01n01_prelude', 21)
3	G	V	13	10	7	70.0	2	5	5 4 3 2 1 4 3 4 5 1	['5 5 4 3 2 1', '4 3 4 5 5 5']	['V I64 V2 I6 V43 vi6', 'V2 I6 ii65 V(64) V V7']	['3 4 5 5 5']	['I6 ii65 V(64) V V7']	['5 5 4 3 2 1', '4 3']	['V I64 V2 I6 V43 vi6', 'V2 I6']	('c01n01_prelude', 22)	('c01n01_prelude', 34)
4	G	IV	6	4	1	25.0	0	1	4 3 5 1	['4 4 3']	['ii6 V2 I6']	[]	[]	['4 4 3']	['ii6 V2 I6']	('c01n01_prelude', 35)	('c01n01_prelude', 40)
5	G	V	7	7	3	42.9	1	2	5 3 2 1 5 7 1	['3 2 1', '7']	['I6 V43 I', 'V65']	['7']	['V65']	['3 2 1']	['I6 V43 I']	('c01n01_prelude', 41)	('c01n01_prelude', 47)
6	G	I	45	36	19	52.8	9	10	7 1 2 7 1 6 5 4 3 4 2 1 5 3 2 1 4 3 5 1 6 5 4 #4 5 6 7 1 6 2 5 1 4 3 5 1	['7 1 2', '7 1', '6 5 4 3 4', '2 1', '3 2 1', '4 4 4 3', '6 6 5 5 4 #4 5 6 7 1', '4 4 4 3']	['V65 I V43', 'V6 I', 'vi I64 viio64 I6 IV', 'V43 I', 'I6 V43 I', 'IVM7 ii65 V2 I6', 'vi7 ii43 V7 I64 IVM7 V65/V V vi7 V65 I', 'IV7 ii65 V2 I6']	['7 1 2', '7 1', '3 4', '4 #4 5 6 7 1']	['V65 I V43', 'V6 I', 'I6 IV', 'IVM7 V65/V V vi7 V65 I']	['6 5 4 3', '2 1', '3 2 1', '4 4 4 3', '6 6 5 5 4', '4 4 4 3']	['vi I64 viio64 I6', 'V43 I', 'I6 V43 I', 'IVM7 ii65 V2 I6', 'vi7 ii43 V7 I64 IVM7', 'IV7 ii65 V2 I6']	('c01n01_prelude', 48)	('c01n01_prelude', 93)
7	G	I	15	11	4	36.4	2	2	1 7 5 6 5 1 5 1 2 5 1	['1 7', '5 6 6 5', '1 1 2']	['I V6', 'V IV6(2) IV6 V7', 'I I ii7']	['5 6 6', '1 1 2']	['V IV6(2) IV6', 'I I ii7']	['1 7', '6 6 5']	['I V6', 'IV6(2) IV6 V7']	('c01n02_allemande', 0)	('c01n02_allemande', 14)
8	G	V	22	22	13	59.1	9	4	3 1 5 7 1 7 1 5 6 4 5 1 7 1 7 1 7 1 3 4 5 1	['7 1 7 1', '5 6', '4 5', '1 7 1 7 1 7 1', '3 4 5']	['V6 I V6 I', 'V7 vi', 'IVM7 V', 'I V65 I V65 I V65 I', 'I6 ii65 V7']	['7 1', '7 1', '5 6', '4 5', '7 1', '7 1', '7 1', '3 4 5']	['V6 I', 'V6 I', 'V7 vi', 'IVM7 V', 'V65 I', 'V65 I', 'V65 I', 'I6 ii65 V7']	['1 7', '1 7', '1 7', '1 7']	['I V6', 'I V65', 'I V65', 'I V65']	('c01n02_allemande', 15)	('c01n02_allemande', 37)
9	G	I	3	3	1	33.3	1	0	5 3 4	['3']	['I6']	['3']	['I6']	[]	[]	('c01n02_allemande', 38)	('c01n02_allemande', 40)
10	G	vi	12	11	6	54.5	4	2	4 5 3 1 4 3 4 3 4 5 1	['4 5', '4 3 4 3 4 5 5']	['ii%65 V', 'V2 i6 V2 i6 ii65 V(64) V']	['4 5', '3 4', '3 4 5 5']	['ii%65 V', 'i6 V2', 'i6 ii65 V(64) V']	['4 3', '4 3']	['V2 i6', 'V2 i6']	('c01n02_allemande', 41)	('c01n02_allemande', 52)
11	G	I	24	21	13	61.9	5	8	6 2 1 4 #4 5 7 1 7 1 5 4 3 5 1 b7 6 5 4 5 1	['2 2 1 1', '4 #4 5', '7 1 7 1', '5 4 3', '1 b7 6 5 4 5 5']	['ii(4) ii I(4) I', 'IVM7 V65/V V', 'V6 I V65 I', 'V V2 I6', 'I V2/IV vi7 V(64) IV V(64) V']	['4 #4 5', '7 1', '7 1', '4 5 5']	['IVM7 V65/V V', 'V6 I', 'V65 I', 'IV V(64) V']	['2 2 1 1', '1 7', '5 4 3', '1 b7 6 5 4']	['ii(4) ii I(4) I', 'I V65', 'V V2 I6', 'I V2/IV vi7 V(64) IV']	('c01n02_allemande', 53)	('c01n02_allemande', 77)
12	g	i	11	10	4	40.0	4	0	1 3 #7 1 2 3 4 1 5 1	['#7 1 1 2 3 4']	['V65 i(4) i V43 i6 iv']	['#7 1 1 2 3 4']	['V65 i(4) i V43 i6 iv']	[]	[]	('c01n03_sarabande', 0)	('c01n03_sarabande', 10)
13	g	III	7	7	2	28.6	2	0	7 1 3 4 1 5 1	['7 1', '3 4']	['V65 I', 'I6 V2']	['7 1', '3 4']	['V65 I', 'I6 V2']	[]	[]	('c01n03_sarabande', 11)	('c01n03_sarabande', 17)
14	g	i	2	2	0	0.0	0	0	3 #7	[]	[]	[]	[]	[]	[]	('c01n03_sarabande', 18)	('c01n03_sarabande', 19)
15	g	III	1	1	0	0.0	0	0	1	[]	[]	[]	[]	[]	[]	('c01n03_sarabande', 20)	('c01n03_sarabande', 20)
16	g	VII	3	2	0	0.0	0	0	4 7	[]	[]	[]	[]	[]	[]	('c01n03_sarabande', 21)	('c01n03_sarabande', 23)
17	g	i	3	3	1	33.3	1	0	4 2 3	['2']	['V43']	['2']	['V43']	[]	[]	('c01n03_sarabande', 24)	('c01n03_sarabande', 26)
18	g	v	15	14	9	64.3	4	5	5 4 2 3 4 5 3 #7 7 6 5 4 5 1	['5 4', '2 3 4 5', '#7 7 7 6 5 4 5']	['i64 V2', 'V43 i6 ii%65 V', 'V6 v6 V2/iv iv6 i64 ii%65 V']	['2 3 4 5', '4 5']	['V43 i6 ii%65 V', 'ii%65 V']	['5 4', '#7 7 7 6 5 4']	['i64 V2', 'V6 v6 V2/iv iv6 i64 ii%65']	('c01n03_sarabande', 27)	('c01n03_sarabande', 41)
19	g	III	4	4	0	0.0	0	0	5 3 1 4	[]	[]	[]	[]	[]	[]	('c01n03_sarabande', 42)	('c01n03_sarabande', 45)
20	g	i	18	16	5	31.2	3	2	4 2 5 1 5 #3 4 2 3 5 4 5 4 1 5 1	['#3 4 4', '2 3 3', '5 4 5 4']	['V65/iv iv(4) iv', 'V65/III III(4) III', 'i64 ii%65 V V2']	['#3 4 4', '2 3 3', '4 5']	['V65/iv iv(4) iv', 'V65/III III(4) III', 'ii%65 V']	['5 4', '5 4']	['i64 ii%65', 'V V2']	('c01n03_sarabande', 46)	('c01n03_sarabande', 64)
21	g	VII	2	1	0	0.0	0	0	4	[]	[]	[]	[]	[]	[]	('c01n03_sarabande', 65)	('c01n03_sarabande', 66)
22	g	i	1	1	0	0.0	0	0	1	[]	[]	[]	[]	[]	[]	('c01n03_sarabande', 67)	('c01n03_sarabande', 67)
23	g	i	19	18	6	33.3	2	4	1 #7 1 6 4 5 3 1 #7 5 1 5 #7 5 1 7 6 4	['1 #7 1', '4 5', '1 #7', '1 7 6']	['i V65 i', 'ii65 V', 'i V65', 'I V2/iv iv6']	['#7 1', '4 5']	['V65 i', 'ii65 V']	['1 #7', '1 #7', '1 7 6']	['i V65', 'i V65', 'I V2/iv iv6']	('c01n04_gavotte', 0)	('c01n04_gavotte', 18)
24	g	III	9	8	3	37.5	1	2	5 4 3 6 4 5 1 3	['5 4 3', '4 5 5']	['V V2 I6', 'ii65 V(4) V']	['4 5 5']	['ii65 V(4) V']	['5 4 3']	['V V2 I6']	('c01n04_gavotte', 19)	('c01n04_gavotte', 28)
